Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
45,639453127444838,639453127452422,570,1351,80,241,639453126170088.0
47,639453127444255,639453127453005,15987,27677,90,276,639453126170088.0
7,639453127456854,639453127465937,17854,27977,174,367,639453126170088.0
17,639453127469224,639453127478391,19202,26997,94,286,639453126170088.0
34,639453127483088,639453127492172,17908,28278,101,293,639453126170088.0
46,639453127496005,639453127505255,17968,25959,80,276,639453126170088.0
17,639453127508141,639453127517641,18851,28108,83,283,639453126170088.0
38,639453127522005,639453127531172,15664,27747,83,276,639453126170088.0
49,639453127535088,639453127544172,18269,26522,97,286,639453126170088.0
9,639453127547687,639453127557104,19239,26217,108,304,639453126170088.0
30,639453127561005,639453127570422,16013,27053,90,290,639453126170088.0
50,639453127573838,639453127583005,17759,26557,80,272,639453126170088.0
12,639453127586604,639453127596021,18599,27337,108,307,639453126170088.0
23,639453127599922,639453127609422,17986,26514,87,286,639453126170088.0
40,639453127613088,639453127622172,16849,27351,87,279,639453126170088.0
6,639453127625521,639453127634771,20907,25589,108,304,639453126170088.0
26,639453127639588,639453127648338,18034,27927,111,297,639453126170088.0
40,639453127652172,639453127661172,15921,25257,111,300,639453126170088.0
2,639453127664687,639453127674104,17606,27790,118,318,639453126170088.0
26,639453127677755,639453127687338,19235,26573,83,283,639453126170088.0
37,639453127691588,639453127700172,16939,26637,97,276,639453126170088.0
10,639453127703687,639453127713187,17791,27784,90,290,639453126170088.0
26,639453127717005,639453127726422,17335,28418,97,297,639453126170088.0
43,639453127730255,639453127739172,15565,25636,104,290,639453126170088.0
6,639453127742604,639453127751771,19055,27168,104,297,639453126170088.0
27,639453127755922,639453127765338,16904,27950,83,283,639453126170088.0
46,639453127769172,639453127778172,17180,27521,101,290,639453126170088.0
17,639453127781141,639453127790891,17565,27211,80,286,639453126170088.0
41,639453127795172,639453127804172,17233,28645,146,335,639453126170088.0
4,639453127807604,639453127816854,19248,25899,115,307,639453126170088.0
22,639453127820922,639453127830422,19778,25445,111,311,639453126170088.0
37,639453127834005,639453127843172,17930,26652,83,276,639453126170088.0
11,639453127846687,639453127856104,18866,25906,129,328,639453126170088.0
32,639453127860005,639453127869172,18413,28114,97,290,639453126170088.0
45,639453127873005,639453127882172,16979,25771,87,279,639453126170088.0
14,639453127885391,639453127894724,19367,25313,97,293,639453126170088.0
30,639453127899172,639453127908255,16517,25623,108,300,639453126170088.0
1,639453127911687,639453127920937,18663,26381,122,314,639453126170088.0
13,639453127924687,639453127934187,18356,26094,118,318,639453126170088.0
36,639453127938005,639453127947172,17158,27581,80,272,639453126170088.0
50,639453127951255,639453127960338,15880,26843,111,304,639453126170088.0
24,639453127963922,639453127973422,16921,29100,101,300,639453126170088.0
36,639453127976922,639453127986172,19627,25400,87,279,639453126170088.0
47,639453127989922,639453127999338,15758,27422,80,279,639453126170088.0
17,639453128002141,639453128011807,17629,28250,94,297,639453126170088.0
29,639453128016172,639453128025338,18618,27138,111,304,639453126170088.0
50,639453128029588,639453128038172,15944,27923,139,321,639453126170088.0
19,639453128042672,639453128051088,18394,26697,283,461,639453126170088.0
39,639453128055838,639453128063422,622,1411,94,255,639453126170088.0
37,639453128055005,639453128064172,16366,26752,90,283,639453126170088.0
5,639453128067521,639453128076687,17805,26528,111,304,639453126170088.0
17,639453128080224,639453128089641,19477,25686,153,349,639453126170088.0
40,639453128094255,639453128103172,18557,26303,115,304,639453126170088.0
8,639453128106604,639453128115937,16990,26846,115,311,639453126170088.0
27,639453128119838,639453128129255,18986,26392,80,279,639453126170088.0
49,639453128132922,639453128142172,17444,26582,80,276,639453126170088.0
14,639453128145391,639453128154391,19092,26651,122,311,639453126170088.0
26,639453128158755,639453128168422,17919,27027,97,300,639453126170088.0
44,639453128172255,639453128181172,18542,26370,108,293,639453126170088.0
9,639453128184687,639453128193771,18461,26385,118,307,639453126170088.0
33,639453128198588,639453128207255,15744,28407,101,283,639453126170088.0
45,639453128211755,639453128219588,433,1069,76,241,639453126170088.0
43,639453128211005,639453128220172,17361,27346,101,293,639453126170088.0
8,639453128223687,639453128233104,17661,25150,104,304,639453126170088.0
33,639453128236755,639453128246255,15894,25347,73,272,639453126170088.0
0,639453128249687,639453128258937,18335,26438,111,307,639453126170088.0
22,639453128262922,639453128272255,17735,26161,132,328,639453126170088.0
38,639453128277172,639453128284505,566,1288,94,248,639453126170088.0
36,639453128276588,639453128285255,16861,25631,101,283,639453126170088.0
46,639453128289172,639453128298172,19447,27103,101,290,639453126170088.0
