Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
17,639218753194641,639218753204307,1357,21711,129,332,0.0
40,639218753207755,639218753216922,665,15055,94,286,0.0
41,639218753208588,639218753217172,17198,28794,143,325,639218752193141.0
42,639218753208505,639218753217588,4102,22837,136,328,0.0
9,639218753221021,639218753228937,295,1321,104,269,0.0
11,639218753220604,639218753229771,15808,25255,97,290,639218752193141.0
10,639218753220354,639218753230021,874,11600,115,318,0.0
12,639218753220854,639218753230521,3385,22199,136,339,0.0
26,639218753235422,639218753242172,253,1243,115,255,0.0
22,639218753234755,639218753242588,232,1243,76,241,0.0
23,639218753233505,639218753243088,369,19662,97,297,0.0
24,639218753233838,639218753243422,20305,25704,97,297,639218752193141.0
25,639218753234172,639218753243838,4019,19832,111,314,0.0
38,639218753246672,639218753256255,989,17420,97,297,0.0
39,639218753247005,639218753256255,17256,25935,90,286,639218752193141.0
40,639218753247255,639218753256588,658,16338,104,300,0.0
11,639218753260521,639218753267937,355,1143,129,283,0.0
12,639218753259354,639218753268854,932,11683,111,311,0.0
13,639218753259604,639218753269104,16780,25417,136,335,639218752193141.0
27,639218753274922,639218753281505,254,1116,108,244,0.0
28,639218753272588,639218753282088,1529,21476,83,283,0.0
29,639218753273005,639218753282422,17321,28990,94,293,639218752193141.0
30,639218753273422,639218753282755,641,17404,108,304,0.0
39,639218753287172,639218753294088,319,1035,108,251,0.0
40,639218753285588,639218753294755,3321,19417,90,283,0.0
41,639218753286088,639218753295255,17764,27300,83,276,639218752193141.0
42,639218753286172,639218753295672,3608,18985,87,286,0.0
8,639218753298437,639218753307854,17747,28159,104,304,639218752193141.0
7,639218753298354,639218753308021,4887,21584,104,307,0.0
9,639218753298937,639218753308521,1882,17688,111,311,0.0
32,639218753312422,639218753319922,194,1267,76,234,0.0
29,639218753311588,639218753321255,269,23761,73,276,0.0
30,639218753311922,639218753321422,19285,24948,87,286,639218752193141.0
31,639218753312172,639218753321755,998,11298,90,290,0.0
3,639218753326604,639218753333354,457,1324,125,269,0.0
1,639218753324937,639218753333771,16528,26851,125,311,639218752193141.0
0,639218753324521,639218753333854,4594,21488,139,335,0.0
2,639218753325104,639218753334437,2004,16115,97,293,0.0
12,639218753337354,639218753346354,3510,21792,115,304,0.0
13,639218753337604,639218753347104,18247,26380,122,321,639218752193141.0
28,639218753351838,639218753358672,260,1219,90,234,0.0
29,639218753350505,639218753359338,933,15500,83,269,0.0
30,639218753350755,639218753360255,16416,27081,83,283,639218752193141.0
31,639218753351588,639218753360672,3227,21938,104,297,0.0
40,639218753364922,639218753372255,428,1195,97,251,0.0
44,639218753365172,639218753372588,303,992,87,241,0.0
41,639218753363672,639218753373255,3388,22255,90,290,0.0
42,639218753364172,639218753373255,17254,26058,90,283,639218752193141.0
43,639218753364422,639218753373672,3618,14559,87,279,0.0
7,639218753377521,639218753385021,261,1239,111,269,0.0
8,639218753376187,639218753385854,673,18128,94,297,0.0
9,639218753376521,639218753386104,19252,26523,94,293,639218752193141.0
10,639218753376771,639218753386604,1394,18204,115,321,0.0
